director,cant,rating
Thor Freudenthal,3,5.833333333333333
Charles Herman-Wurmfeld,3,5.833333333333333
John Schlesinger,3,5.833333333333333
Bobby Farrelly,11,5.827272727272727
Jake Kasdan,4,5.825
Simon West,8,5.825
Russell Mulcahy,4,5.825
Paul W.S. Anderson,10,5.8100000000000005
Xavier Gens,2,5.800000000000001
Blake Edwards,2,5.800000000000001
Michael Rymer,2,5.800000000000001
Matt Walsh,1,5.8
Stephen St. Leger,1,5.8
Forest Whitaker,1,5.8
Henry Selick,2,5.8
Emma-Kate Croghan,1,5.8
Paul Abascal,1,5.8
Michael Cristofer,1,5.8
David Anspaugh,1,5.8
Robert Cary,1,5.8
Mennan Yapo,1,5.8
Stephan Elliott,2,5.8
Michael Jai White,1,5.8
Michael McCullers,1,5.8
Fred Walton,1,5.8
Jean-Marc Barr,1,5.8
William Arntz,1,5.8
Billy Kent,1,5.8
Peter Cousens,1,5.8
Joshua Michael Stern,1,5.8
John Stephenson,1,5.8
Ramaa Mosley,1,5.8
J. Lee Thompson,2,5.8
Franco Zeffirelli,1,5.8
Daniel Taplitz,1,5.8
Clark Johnson,2,5.8
Rafa Lara,1,5.8
William Eubank,1,5.8
Steve Taylor,1,5.8
Alister Grierson,1,5.8
Pat Holden,1,5.8
David Lam,1,5.8
Tay Garnett,1,5.8
Michael Pressman,1,5.8
Ole Bornedal,1,5.8
Olatunde Osunsanmi,1,5.8
Anthony Silverston,1,5.8
Joachim Rønning,1,5.8
Babak Najafi,1,5.8
Tim Blake Nelson,1,5.8
Demian Lichtenstein,1,5.8
Mike Tollin,2,5.8
Olivier Dahan,1,5.8
Jackie Earle Haley,1,5.8
Deryck Broom,1,5.8
Brendan Malloy,1,5.8
Seth Gordon,3,5.8
George Gallo,2,5.8
James Fargo,1,5.8
Lance Mungia,1,5.8
Robert Stevenhagen,1,5.8
John H. Lee,1,5.8
Sacha Bennett,1,5.8
Ryan Murphy,2,5.8
Jon Kasdan,1,5.8
Jamie Travis,1,5.8
Jason Alexander,1,5.8
Àlex Pastor,1,5.8
Rupert Sanders,1,5.8
Cathy Malkasian,1,5.8
John Laing,1,5.8
John Lafia,1,5.8
Alain Resnais,1,5.8
Luke Greenfield,4,5.8
Jon Cassar,1,5.8
Gary David Goldberg,1,5.8
Eric Lavaine,1,5.8
Emily Young,1,5.8
Paul Tibbitt,1,5.8
Akiva Schaffer,2,5.8
Peter Yates,1,5.8
Mark Rosman,2,5.8
Jeff Crook,1,5.8
Christopher Cain,2,5.8
Ric Roman Waugh,1,5.8
Ron Shelton,4,5.775
Hugh Wilson,4,5.775
Frank Coraci,7,5.771428571428571
Andy Fickman,6,5.766666666666667
Andrei Konchalovsky,2,5.75
Dave Green,2,5.75
Keenen Ivory Wayans,4,5.75
John Herzfeld,2,5.75
Callie Khouri,2,5.75
Marc Lawrence,3,5.733333333333333
Michael Caton-Jones,4,5.725
Renny Harlin,15,5.72
Panos Cosmatos,1,5.7
Ed Decter,1,5.7
Patrick Meaney,1,5.7
Tony Maylam,1,5.7
Blair Erickson,1,5.7
John Pasquin,3,5.7
Daniel Hsia,1,5.7
Kerry Conran,1,5.7
Quentin Dupieux,1,5.7
Ray Lawrence,1,5.7
Álex de la Iglesia,1,5.7
Walter Hill,4,5.7
Alan Poul,1,5.7
Roger Vadim,1,5.7
Jason Eisener,1,5.7
Adam Green,1,5.7
Claudia Sainte-Luce,1,5.7
Justin Zackham,1,5.7
Robert Townsend,1,5.7
Callan Brunker,1,5.7
Brian Taylor,4,5.7
Ti West,2,5.7
Robert Heath,1,5.7
Tom McLoughlin,1,5.7
Steve Hickner,1,5.7
Allen Hughes,1,5.7
Tommy O'Haver,2,5.7
Tod Williams,1,5.7
Jake Paltrow,1,5.7
Joan Chen,1,5.7
David Mirkin,1,5.7
Tom Kalin,1,5.7
Jon Knautz,3,5.7
Tom Seidman ,1,5.7
Gene Quintano,1,5.7
Bronwen Hughes,1,5.7
John 'Bud' Cardos,1,5.7
Brandon Cronenberg,1,5.7
David Hayter,1,5.7
Hayley Cloake,1,5.7
Bob Gosse,1,5.7
Kinka Usher,1,5.7
Harold Cronk,1,5.7
Jack Sholder,1,5.7
Jack Perez,1,5.7
Jeff Garlin,1,5.7
Kevin Rodney Sullivan,3,5.7
Stefan C. Schaefer,1,5.7
Dan Mazer,1,5.7
Jim Fall,1,5.7
Will Finn,1,5.7
Maria Maggenti,1,5.7
Peter MacDonald,1,5.7
Peter Medak,1,5.7
Michael Corrente,2,5.699999999999999
Luis Mandoki,2,5.699999999999999
Deborah Kaplan,2,5.699999999999999
Rob Zombie,4,5.699999999999999
Steve Miner,5,5.68
Mike Mitchell,4,5.675
Joe Nussbaum,3,5.666666666666667
James Cox,3,5.666666666666667
Howard Deutch,3,5.666666666666667
Gurinder Chadha,3,5.666666666666667
Steve Pink,3,5.666666666666667
Dennis Dugan,9,5.655555555555555
John Luessenhop,2,5.65
Preston A. Whitmore II,2,5.65
Norton Virgien,2,5.65
David Leland,2,5.65
Mick Jackson,2,5.65
Jay Chandrasekhar,4,5.6499999999999995
Ron Underwood,3,5.633333333333333
Walt Becker,4,5.625
Donald Petrie,8,5.625
John Stockwell,4,5.625
John Schultz,3,5.6000000000000005
Patrick Stettner,2,5.6
Daryl Wein,1,5.6
Maggie Greenwald,1,5.6
Alan Cohn,1,5.6
George Ratliff,1,5.6
Ekachai Uekrongtham,1,5.6
Gabe Ibáñez,1,5.6
Emile Ardolino,1,5.6
Barnaby Thompson,1,5.6
Ben Garant,1,5.6
Jeff Kanew,1,5.6
Marc Schölermann,1,5.6
Daniel Stamm,1,5.6
J Blakeson,1,5.6
Joseph Zito,2,5.6
Bill Muir,1,5.6
Mathieu Kassovitz,2,5.6
Agustín Díaz Yanes,1,5.6
Mark Tonderai,1,5.6
Remo D'Souza,1,5.6
Steve Trenbirth,1,5.6
Harald Zwart,2,5.6
Analeine Cal y Mayor,1,5.6
Tuck Tucker,1,5.6
Tran Anh Hung,1,5.6
Erik White,1,5.6
Pascal Chaumeil,1,5.6
Jason Stone,1,5.6
Joshua Seftel,1,5.6
Jennifer Flackett,1,5.6
Kyle Rankin,1,5.6
André Téchiné,1,5.6
Lexi Alexander,1,5.6
Jack Smight,2,5.6
Jody Hill,1,5.6
Geoff Murphy,1,5.6
David E. Talbert,1,5.6
Shyam Madiraju,1,5.6
Joe Swanberg,2,5.6
Scott Mann,1,5.6
Brandon Camp,1,5.6
Jorge Blanco,1,5.6
Tina Gordon Chism,1,5.6
Juraj Jakubisko,1,5.6
Noel Marshall,1,5.6
Lena Dunham,1,5.6
Ryan Smith,1,5.6
Tom Elkins,1,5.6
Carter Smith,1,5.6
Cassandra Nicolaou,1,5.6
Émile Gaudreault,1,5.6
Jonathan Frakes,4,5.6
Charles Stone III,2,5.6
Charles Shyer,1,5.6
William Shatner,1,5.6
DJ Pooh,2,5.6
Ken Scott,2,5.6
Ken Shapiro,1,5.6
Chuck Russell,6,5.566666666666666
Brad Peyton,3,5.566666666666666
Tom Dey,3,5.566666666666666
Rob Letterman,2,5.550000000000001
Mary Lambert,2,5.550000000000001
Tamra Davis,2,5.550000000000001
John Polson,2,5.55
John A. Davis,2,5.55
Jan de Bont,5,5.54
Chris Rock,3,5.533333333333334
Peter Hyams,6,5.533333333333334
Steve Carr,4,5.525
John Moore,4,5.525
Rob Cohen,9,5.522222222222222
Jonathan Liebesman,5,5.5200000000000005
Marcos Siega,1,5.5
Rakesh Roshan,1,5.5
Peter Lepeniotis,1,5.5
Mark Christopher,1,5.5
Mark Illsley,1,5.5
Mark Helfrich,1,5.5
Allison Burnett,1,5.5
Roger Kumble,3,5.5
Kate Barker-Froyland,1,5.5
Kevin Allen,2,5.5
Reinhard Klooss,1,5.5
Reed Cowan,1,5.5
Rachel Goldenberg,1,5.5
Conor McMahon,1,5.5
Jamie Thraves,1,5.5
Scott Foley,1,5.5
Chris Carter,1,5.5
Robert D. Webb,1,5.5
Michel O. Scott,1,5.5
David Hackl,2,5.5
Scott Kalvert,1,5.5
Joel Paul Reisig,2,5.5
Levan Gabriadze,1,5.5
Simon Wincer,4,5.5
Jonathan Wacks,1,5.5
Joel Gallen,1,5.5
Dax Shepard,1,5.5
David Nutter,1,5.5
Bruce Paltrow,1,5.5
Jon Erwin,1,5.5
David Moreau,1,5.5
Mora Stephens,1,5.5
Eric Brevig,2,5.5
Khalil Sullins,1,5.5
Ericson Core,1,5.5
John Cornell,1,5.5
Paul Fox,1,5.5
Bille Woodruff,4,5.5
Josh Trank,2,5.5
Matt Piedmont,1,5.5
William Kaufman,2,5.5
Mark Tarlov,1,5.5
Daniel Algrant,1,5.5
Christopher Bessette,1,5.5
Fina Torres,1,5.5
Wil Shriner,1,5.5
Josh Schwartz,1,5.5
Betty Thomas,4,5.5
Ernie Barbarash,2,5.5
Maggie Carey,1,5.5
Bob Dolman,1,5.5
Steve Carver,1,5.5
Jason Miller,1,5.5
Emily Dell,1,5.5
Phil Joanou,2,5.5
Mary Pat Kelly,1,5.5
Takashi Shimizu,2,5.5
Eric Eason,1,5.5
Timothy Bjorklund,1,5.5
John Duigan,1,5.5
Wayne Beach,1,5.5
David R. Ellis,5,5.4799999999999995
David Wain,4,5.475
Ronny Yu,4,5.475
Michael Lehmann,3,5.466666666666666
Paul Schrader,6,5.466666666666666
Tim Hill,5,5.46
Camille Delamarre,2,5.45
Gregor Jordan,2,5.45
Peter Hewitt,4,5.45
C. Jay Cox,2,5.45
Stephen Gaghan,2,5.449999999999999
Jim Gillespie,2,5.449999999999999
Les Mayfield,5,5.4399999999999995
Eli Roth,3,5.433333333333334
Paul Weitz,5,5.42
Brian Robbins,6,5.416666666666667
Hitoshi Matsumoto,1,5.4
Kent Alterman,1,5.4
Randall Rubin,1,5.4
Rohan Sippy,1,5.4
Zach Cregger,1,5.4
Hideo Nakata,1,5.4
Katja von Garnier,1,5.4
Nick Gomez,1,5.4
Tom Schulman,1,5.4
Salvador Carrasco,1,5.4
Neal Brennan,1,5.4
Dewey Nicks,1,5.4
Rusty Cundieff,1,5.4
Julio DePietro,1,5.4
Antony Hoffman,1,5.4
Louis C.K.,1,5.4
Andrew Traucki,1,5.4
Jerry Jameson,2,5.4
Brett Leonard,2,5.4
Ellory Elkayem,1,5.4
Perry Lang,1,5.4
James Nunn,1,5.4
John Putch,1,5.4
Rita Merson,1,5.4
Michael Patrick King,1,5.4
Dwight H. Little,2,5.4
Michael Martin,1,5.4
Edward Dmytryk,1,5.4
Jake Goldberger,1,5.4
Benjamin Dickinson,1,5.4
Marc F. Adler,1,5.4
Troy Nixey,1,5.4
Eric Blakeney,1,5.4
Maurice Joyce,1,5.4
Paul Gross,2,5.4
Mary McGuckian,1,5.4
Joseph Ruben,1,5.4
Jeff Franklin,1,5.4
Steven Brill,4,5.4
Danny Pang,2,5.4
Matt Dillon,1,5.4
Daniel Sackheim,1,5.4
Vicky Jenson,2,5.4
J.B. Rogers,2,5.4
Mark Piznarski,1,5.4
Stewart Hendler,1,5.4
Francesca Gregorini,1,5.4
Rand Ravich,1,5.4
Agnieszka Wojtowicz-Vosloo,1,5.4
Ciaran Foy,1,5.4
Damon Santostefano,1,5.4
Roland Joffé,3,5.3999999999999995
Tony Kaye,3,5.3999999999999995
Raja Gosnell,6,5.383333333333333
Stephen T. Kay,3,5.366666666666667
Reginald Hudlin,3,5.366666666666667
Martin Lawrence,2,5.35
Joe Roth,2,5.35
Karyn Kusama,2,5.35
Steve Beck,2,5.35
Nick Love,2,5.35
Angela Robinson,2,5.35
Geoffrey Sax,2,5.35
Scott Stewart,2,5.300000000000001
Craig R. Baxley,2,5.300000000000001
Chris Kentis,2,5.300000000000001
Masayuki Ochiai,1,5.3
Jeff Lowell,1,5.3
Mark Young,1,5.3
Rachel Talalay,2,5.3
Fyodor Bondarchuk,1,5.3
Frank Sebastiano,1,5.3
Bigas Luna,1,5.3
Daisy von Scherler Mayer,2,5.3
Eddie O'Flaherty,1,5.3
John Carl Buechler,1,5.3
Benny Boom,1,5.3
John Stainton,1,5.3
Jamie Blanks,2,5.3
Ben Gluck,1,5.3
William Bindley,1,5.3
Shintaro Shimosawa,1,5.3
Don Scardino,1,5.3
Lionel C. Martin,1,5.3
Phil Claydon,1,5.3
Phil Morrison,1,5.3
Douglas Cheek,1,5.3
Leslye Headland,1,5.3
Kat Coiro,1,5.3
Christian Duguay,2,5.3
Christian E. Christiansen,1,5.3
Anna Mastro,1,5.3
Glen Morgan,2,5.3
Vera Farmiga,1,5.3
Hugh Johnson,1,5.3
D. Stevens,1,5.3
Jamel Debbouze,1,5.3
Kabir Sadanand,1,5.3
Neema Barnette,1,5.3
Greg Coolidge,1,5.3
Gordon Chan,1,5.3
Andrés Couturier,1,5.3
Peter Billingsley,1,5.3
Kimble Rendall,1,5.3
Tony Krantz,1,5.3
Kelly Makin,1,5.3
Wayne Thornley,1,5.3
Alex Ranarivelo,1,5.3
Albert Brooks,1,5.3
Kevin Carraway,1,5.3
Kevin Donovan,1,5.3
Alan Shapiro,1,5.3
Zack Ward,1,5.3
Dennie Gordon,4,5.275
Ben Falcone,2,5.25
Joel Zwick,2,5.25
Greg Harrison,2,5.25
Kevin Munroe,2,5.25
Patrick Read Johnson,2,5.25
David S. Goyer,2,5.25
David Zucker,5,5.24
William Brent Bell,3,5.233333333333333
Mark Griffiths,1,5.2
Kevin Hooks,1,5.2
James Wong,4,5.2
Rachel Perkins,1,5.2
Bart Freundlich,2,5.2
Gary Chapman,1,5.2
Chris Shadley,1,5.2
Ringo Lam,1,5.2
Enrique Begné,1,5.2
Luke Wilson,1,5.2
RZA,1,5.2
Craig Mazin,2,5.2
Dominique Othenin-Girard,1,5.2
Scott Marshall,1,5.2
Kirk De Micco,1,5.2
Bob Odenkirk,2,5.2
Christopher B. Landon,1,5.2
Mitchell Lichtenstein,1,5.2
Tim Heidecker,1,5.2
Joseph Kahn,2,5.2
Jonas Elmer,1,5.2
Márcio Garcia,1,5.2
Sarah Gavron,1,5.2
Dan Reed,1,5.2
Anthony Hickox,1,5.2
Sajid Khan,1,5.2
Darrell James Roodt,1,5.2
Leon Ichaso,1,5.2
Robert Butler,1,5.2
H.M. Coakley,1,5.2
Ruairi Robinson,1,5.2
Ruba Nadda,1,5.2
Nick Hurran,1,5.2
Nickolas Perry,1,5.2
Jon Matthews,1,5.2
Tony Giglio,1,5.2
Andrzej Bartkowiak,5,5.2
Martin Weisz,1,5.2
Martyn Pick,1,5.2
Rich Christiano,1,5.2
Warren Sheppard,1,5.2
Henry Hobson,1,5.2
Amanda Gusack,1,5.2
Alan Rudolph,1,5.2
Patrick Lussier,4,5.199999999999999
Patricia Cardoso,2,5.15
Sam Weisman,4,5.15
Morgan J. Freeman,2,5.15
Fred Wolf,2,5.15
Brian Levant,6,5.1499999999999995
Don Michael Paul,3,5.133333333333333
Kim Farrant,1,5.1
David Gelb,1,5.1
Sara Sugarman,1,5.1
Jeffrey W. Byrd,1,5.1
Ronald Neame,1,5.1
Mor Loushy,1,5.1
Chatrichalerm Yukol,1,5.1
Nelson McCormick,2,5.1
Claudia Llosa,1,5.1
Jonathan Newman,1,5.1
Neil Mcenery-West,1,5.1
Bryan Barber,1,5.1
Ruggero Deodato,1,5.1
Hoyt Yeatman,1,5.1
Paul Hunter,1,5.1
Luis Llosa,2,5.1
James Toback,2,5.1
William A. Graham,1,5.1
Courtney Solomon,2,5.1
Willard Huyck,1,5.1
Blair Hayes,1,5.1
Lowell Sherman,1,5.1
Bruce Hunt,1,5.1
Danny Steinmann,1,5.1
Ian Fitzgibbon,1,5.1
Terron R. Parsons,1,5.1
Jorma Taccone,1,5.1
Vladlen Barbe,1,5.1
Katt Shea,1,5.1
John Whitesell,5,5.0600000000000005
Jimmy Hayward,2,5.050000000000001
Oren Peli,2,5.050000000000001
Sam Miller,2,5.05
Chris Koch,2,5.05
David McNally,2,5.05
Mark Brown,2,5.05
Robert Harmon,2,5.05
Michael Tiddes,3,5.033333333333334
Vidhu Vinod Chopra,1,5.0
Diane Keaton,1,5.0
Tyler Oliver,1,5.0
Patrick Ryan Sims,1,5.0
Gonzalo López-Gallego,1,5.0
Jim Sonzero,1,5.0
Tommy Lee Wallace,1,5.0
Catherine Gund,1,5.0
Tim Chambers,1,5.0
John Guillermin,1,5.0
Harmony Korine,1,5.0
Joseph Graham,1,5.0
Thomas Langmann,1,5.0
Johanna Schwartz,1,5.0
Danny Provenzano,1,5.0
Daniel Mellitz,1,5.0
Joe Chappelle,1,5.0
Sol Tryon,1,5.0
Corey Grant,1,5.0
Corey Yuen Kwai,1,5.0
Jackie Chan,1,5.0
Gnana Rajasekaran,1,5.0
Dave Carroll,1,5.0
Chen Kaige,1,5.0
Tommy Oliver,1,5.0
Harry Beaumont,1,5.0
Ken Roht,1,5.0
Mark A.Z. Dippé,1,5.0
Doug Lefler,1,5.0
Michael J. Bassett,1,5.0
Ham Tran,1,5.0
John Murlowski,1,5.0
Matt Cimber,1,5.0
John Bonito,1,5.0
Steve Barron,1,5.0
"Daniel Petrie, Jr.",1,5.0
Matt Jackson,1,5.0
Piyush Dinker Pandya,1,5.0
Jim Issa,1,5.0
Michael Taliferro,1,5.0
Tom Reeve,1,5.0
Stuart Beattie,1,5.0
Herb Freed,1,5.0
Charles Ferguson,3,4.966666666666667
Valeri Milev,1,4.9
Scott Alexander,1,4.9
Charles Matthau,1,4.9
Nancy Walker,1,4.9
Don Mancini,1,4.9
Travis Cluff,1,4.9
Jamaa Fanaka,1,4.9
Rick Friedberg,1,4.9
Bo Welch,1,4.9
Bradley Parker,1,4.9
Joe Charbanic,1,4.9
Stevan Mena,1,4.9
Steve Rash,2,4.9
Will Canon,1,4.9
J.S. Cardone,1,4.9
Edward Hall,1,4.9
Richard Boddington,1,4.9
Sam Firstenberg,1,4.9
Oleg Stepchenko,1,4.9
Katie Aselton,1,4.9
Robinson Devor,1,4.9
Kris Isacsson,1,4.9
Isaac Florentine,1,4.9
Kresten Vestbjerg Andersen,1,4.9
David Cross,1,4.9
Stiles White,1,4.9
Benni Diez,1,4.9
Gregory Poirier,1,4.9
Stefen Fangmeier,1,4.9
Griffin Dunne,3,4.8999999999999995
Bob Saget,2,4.85
Pan Nalin,2,4.85
Colin Strause,2,4.800000000000001
James Melkonian,1,4.8
Gideon Raff,1,4.8
Jason Zada,1,4.8
Hilary Brougher,1,4.8
Michael Walker,1,4.8
Paul Mazursky,1,4.8
Randy Moore,1,4.8
Travis Romero,1,4.8
Duane Journey,1,4.8
Youssef Delara,1,4.8
Dito Montiel,1,4.8
Chris Gorak,1,4.8
Robby Henson,1,4.8
Marc Forby,1,4.8
Mabrouk El Mechri,1,4.8
Stewart Raffill,2,4.8
Henry King,1,4.8
Rob Hedden,1,4.8
Christophe Ali,1,4.8
Michael Meredith,1,4.8
Michael Chapman,1,4.8
Eric Mendelsohn,1,4.8
Deb Hagan,1,4.8
Gerry Lively,1,4.8
Mike Disa,1,4.8
Danny Perez,1,4.8
Steve Boyum,2,4.75
David Raynr,2,4.75
Bruce McCulloch,2,4.75
John Gray,1,4.7
Damien Dante Wayans,1,4.7
Tom DiCillo,1,4.7
Robert Iscove,3,4.7
Paul Crowder,1,4.7
Kevin Hamedani,1,4.7
James Bridges,1,4.7
Frank Miller,1,4.7
Nick Hamm,1,4.7
Chad Kapper,1,4.7
Mort Nathan,1,4.7
Tsui Hark,1,4.7
Mike Bigelow,1,4.7
S.R. Bindler,1,4.7
Christopher Erskin,1,4.7
Rick Bieber,1,4.7
Phil Traill,1,4.7
Jessy Terrero,1,4.7
Marcus Nispel,1,4.7
John Robert Hoffman,1,4.7
Katherine Dieckmann,1,4.7
Johnny Remo,1,4.7
Matthew Hastings,1,4.7
Bob Spiers,1,4.7
Dan Curtis,1,4.7
Doug McHenry,1,4.7
Ashish R. Mohan,1,4.7
John R. Leonetti,2,4.699999999999999
Bob Clark,4,4.675
Douglas Aarniokoski,2,4.65
Eric Valette,2,4.65
Richard Benjamin,3,4.633333333333333
Travis Legge,2,4.6
Melvin Van Peebles,1,4.6
Gabriela Tagliavini,1,4.6
Mark Neveldine,1,4.6
John Sullivan,1,4.6
Sylvio Tabet,1,4.6
Darin Scott,1,4.6
Lluís Quílez,1,4.6
Britt Allcroft,1,4.6
Brian A Miller,1,4.6
Nadia Tass,1,4.6
Yvette Kaplan,1,4.6
Keith Parmer,1,4.6
Wallace Wolodarsky,1,4.6
Tom Green,1,4.6
Huck Botko,1,4.6
Amy Holden Jones,1,4.6
Carmen Marron,1,4.6
Lance Rivera,1,4.6
Charles Adelman,1,4.6
Jerry Belson,1,4.6
Diane English,1,4.6
Eric Bross,2,4.55
Stuart Gillard,2,4.55
Zackary Adler,1,4.5
Alex Craig Mann,1,4.5
Charles T. Kanganis,1,4.5
Charles S. Dutton,1,4.5
Andrew Bergman,2,4.5
James Isaac,1,4.5
Steven Seagal,1,4.5
Qasim Basir,1,4.5
Meiert Avis,1,4.5
Gary Sherman,1,4.5
Brandon Trost,1,4.5
Todd Lincoln ,1,4.5
Rick Rosenthal,1,4.5
Julien Temple,1,4.5
Jon Hess,1,4.5
Andrew Morahan,1,4.5
Olly Blackburn,1,4.5
Janusz Kamiński,1,4.5
Charlie Levi,1,4.5
Jesse Peretz,2,4.45
Chris Stokes,2,4.449999999999999
Robert Marcarelli,1,4.4
Joseph Green,1,4.4
Tom Brady,1,4.4
Bruce MacDonald,1,4.4
Justin Thomas Ostensen,1,4.4
Jerry Dugan,1,4.4
Dave Payne,1,4.4
Derick Martini,1,4.4
John Ottman,1,4.4
Becky Smith,1,4.4
Joe Marino,1,4.4
Ed Gass-Donnelly,1,4.4
Fred Savage,1,4.4
Stephen Carpenter,1,4.4
Travis Zariwny,1,4.4
Matt Bettinelli-Olpin,1,4.4
Mario Van Peebles,2,4.4
William Malone,2,4.35
Shim Hyung-Rae,2,4.35
Kenneth Johnson,1,4.3
Marco Schnabel,1,4.3
Mickey Liddell,1,4.3
Michael Winner,1,4.3
Wych Kaosayananda,1,4.3
Joe Berlinger,1,4.3
Robert Adetuyi,1,4.3
David Kellogg,1,4.3
Cheryl Dunye,1,4.3
Hank Braxtan,1,4.3
Peter Hastings,1,4.3
Al Silliman Jr.,1,4.3
Chuck Bowman,1,4.3
David Winters,1,4.3
David M. Matthews,1,4.3
Sarik Andreasyan,1,4.3
Timothy Hines,1,4.3
Lawrence Guterman,2,4.3
Serdar Akar,1,4.3
Sergei Bodrov Jr.,1,4.3
Mic Rodgers,1,4.2
Fred Dekker,1,4.2
Eric England,1,4.2
Pitof,1,4.2
Elaine May,1,4.2
Andrew Hyatt,1,4.2
Timothy Woodward Jr.,1,4.2
Jason Trost,1,4.2
Jay Alaimo,1,4.2
Jesse Vaughan,1,4.2
W.D. Hogan,1,4.2
Dan Ireland,1,4.2
Adam Marcus,1,4.2
Scott Dow,1,4.2
Rob Pritts,1,4.1
Troy Miller,1,4.1
Laurent Bouhnik,1,4.1
Anthony O'Brien,1,4.1
Jonathan Silverman,1,4.1
Jonathan Meyers,1,4.1
Mona Lerche,1,4.1
Matty Rich,2,4.1
Louis Morneau,1,4.1
Michael Winnick,1,4.1
Sidney J. Furie,1,4.1
Steven E. de Souza,1,4.1
Alan Metter,1,4.1
Vicky Jewson,1,4.1
Bo Zenga,1,4.0
Charles Robert Carner,1,4.0
Sharron Miller,1,4.0
Eric Schaeffer,1,4.0
Robert Hall,1,4.0
David DeCoteau,2,4.0
Uwe Boll,5,4.0
Jason Connery,1,4.0
Jonathan Parker,1,4.0
Annabel Jankel,1,4.0
Christopher Roberts,1,4.0
Tanner Beard,1,3.9
Adam Jay Epstein,1,3.9
Scott Marshall Smith,1,3.9
Des McAnuff,1,3.9
Deon Taylor,1,3.9
Rob Hawk,1,3.9
James Manera,1,3.9
Anthony C. Ferrante,1,3.8
Jérôme Deschamps,1,3.8
Klaus Menzel,1,3.8
Christopher Hutson,1,3.8
Allan Arkush,1,3.8
Christopher Leitch,1,3.8
William A. Fraker,1,3.7
Myles Berkowitz,1,3.7
Nnegest Likké,1,3.7
Bobby Roth,1,3.7
Vic Armstrong,1,3.7
Perry Andelin Blake,1,3.7
Shane Dawson,1,3.7
Antonio Simoncini,1,3.6
Brian Trenchard-Smith,3,3.6
Jason Friedberg,5,3.5400000000000005
Hal Needham,1,3.5
Robert Bennett,1,3.5
Michael Hoffman Jr.,1,3.5
Joseph Sargent,1,3.5
Simon Yin,1,3.5
Harmage Singh Kalirai,1,3.5
Collin Joseph Neal,1,3.5
Stanton Barrett,1,3.5
Kevin King,1,3.5
Georgia Hilton,1,3.4
Vondie Curtis-Hall,1,3.4
Vivek Agnihotri,1,3.4
Brett Piper,1,3.3
Trent Cooper,1,3.3
Rick de Oliveira,1,3.3
William Sachs,1,3.3
Tara Subkoff,1,3.3
Frank Passingham,1,3.2
Nick Murphy ,2,3.15
Dominic Burns,1,3.1
Peter M. Cohen,1,3.1
Matthew R. Anderson,1,3.1
Craig Moss,2,3.05
Roger Christian,1,3.0
Philip Zlotorynski,1,3.0
Frédéric Auburtin,1,3.0
Barrett Esposito,1,3.0
Simeon Rice,1,3.0
Lijun Sun,1,3.0
Alan Smithee,1,3.0
Richard Montoya,1,3.0
Ian Iqbal Rashid,1,3.0
Darren Stein,2,2.95
Jim Goddard,1,2.9
Steve Gomer,1,2.9
Warren P. Sonoda,1,2.9
Paul Donovan,1,2.8
Rohit Jagessar,1,2.8
Christian Sesma,1,2.8
Babar Ahmed,1,2.8
Alex Zamm,1,2.7
David Winning,1,2.6
Arjun Sablok,1,2.3
Lawrence Kasanoff,1,2.3
Matthew Diamond,1,2.2
Ivan Kavanagh,1,2.0
Kirk Loudon,1,2.0
Natalie Bible',1,2.0
Avi Nesher,1,2.0
Dylan Bank,1,2.0
Sue Corcoran,1,1.0
Leonard Farlinger,1,1.0
Tom Walsh,1,0.5
Jaco Booyens,1,0.0
Gene Teigland,1,0.0
Stephen Langford,1,0.0
Livingston Oden,1,0.0
Simon Napier-Bell,1,0.0
Matthew Watts,1,0.0
William Gazecki,1,0.0
Joseph Mazzella,1,0.0
Bill Benenson,1,0.0
Mariette Monpierre,1,0.0
Fernando Baez Mella,1,0.0
Marcia Bennett,1,0.0
Eric Bugbee,1,0.0
Thomas L. Phillips,1,0.0
Nicolae Constantin Tanase,1,0.0
Robert M. Young,1,0.0
Niall Johnson,1,0.0
Jerome Elston Scott,1,0.0
Tom Sanchez,1,0.0
Justin Paul Miller,1,0.0
Cary Bell,1,0.0
David Worth,1,0.0
Giovanni Zelko,1,0.0
Catherine Jelski,1,0.0
Sadyk Sher-Niyaz,1,0.0
Sai Varadan,1,0.0
Nathan Smith Jones,1,0.0
Romesh Sharma,1,0.0
Dena Seidel,1,0.0
Mitchell Altieri,1,0.0
Mike Bruce,1,0.0
Sharon Greytak,1,0.0
Robert Fontaine,1,0.0
James David Pasternak,1,0.0
Kristin Rizzo,1,0.0
Lance Kawas,1,0.0
Paolo Monico,1,0.0
Darren Press,1,0.0
Pece Dingo,1,0.0
James O'Brien,1,0.0
Valerie Red-Horse,1,0.0
U. Roberto Romano,1,0.0
Christopher Scott Cherot,1,0.0
Damir Catic,1,0.0
Corbin Bernsen,1,0.0
Jim Chuchu,1,0.0
